Wavelength (nm),Intensity
246.89999999999733,0.0
246.99999999999733,0.0
247.09999999999732,0.0
247.19999999999732,0.0
247.2999999999973,260613.7315247328
247.3999999999973,10311325.917153778
247.4999999999973,165312408.32289296
247.5999999999973,1073915500.4659185
247.6999999999973,2826887256.6221385
247.79999999999728,3015230965.495043
247.89999999999728,1303185983.4523735
247.99999999999727,228226429.07238352
248.09999999999727,16195680.07762932
248.19999999999726,465699.91934421466
248.29999999999725,0.0
248.39999999999725,0.0
248.49999999999724,0.0
248.59999999999724,0.0
248.69999999999723,0.0
248.79999999999723,0.0
248.89999999999722,0.0
248.99999999999721,0.0
249.0999999999972,0.0
249.1999999999972,0.0
249.2999999999972,0.0
249.3999999999972,0.0
249.4999999999972,0.0
249.59999999999718,0.0
249.69999999999717,31407.280114566627
249.79999999999717,2117776.7449229993
249.89999999999716,58898708.51533998
249.99999999999716,675627189.6685288
250.09999999999715,3196569971.9915404
250.19999999999715,6237880661.736644
250.29999999999714,5020716026.442978
250.39999999999714,1666748236.67387
250.49999999999713,228218107.8352121
250.59999999999712,12888605.953055281
250.69999999999712,300218.5628883072
250.7999999999971,0.0
250.8999999999971,0.0
250.9999999999971,0.0
251.0999999999971,0.0
251.1999999999971,0.0
251.29999999999708,0.0
251.39999999999708,0.0
251.49999999999707,847074.7285925737
251.59999999999707,26239545.574018124
251.69999999999706,339306969.77436197
251.79999999999706,1831602125.409778
251.89999999999705,4127350810.1980257
251.99999999999704,3882518341.2472787
252.09999999999704,1524605685.9333844
252.19999999999703,249921397.78399163
252.29999999999703,17102170.593724176
252.39999999999702,488540.8843231898
252.49999999999702,0.0
252.599999999997,0.0
252.699999999997,392848.2744849163
252.799999999997,17649241.21603265
252.899999999997,322568732.5554714
252.999999999997,2643357501.6780076
253.09999999999698,9906730527.067808
253.19999999999698,17150240348.159473
253.29999999999697,13636806921.244308
253.39999999999696,4892082371.185789
253.49999999999696,775230632.9514034
253.59999999999695,54238912.378190905
253.69999999999695,31013996.96406944
253.79999999999694,396758180.48381686
253.89999999999694,2264426137.768841
253.99999999999693,5473528993.137039
254.09999999999692,5603426516.251873
254.19999999999692,2429529557.7858076
254.2999999999969,447452487.91497195
254.3999999999969,60175888.23312552
254.4999999999969,209405852.07526577
254.5999999999969,728809413.7192949
254.6999999999969,1174612465.3368566
254.79999999999688,1521264031.477111
254.89999999999688,3094510529.386161
254.99999999999687,4296875082.649282
255.09999999999687,2683141093.958449
255.19999999999686,719145009.8872266
255.29999999999686,82418275.6728172
255.39999999999685,4037510.5581169515
255.49999999999685,84535.78028494275
255.59999999999684,0.0
255.69999999999683,0.0
255.79999999999683,0.0
255.89999999999682,0.0
255.99999999999682,0.0
256.09999999999684,0.0
256.1999999999968,0.0
256.29999999999677,0.0
256.3999999999968,386378.715823904
256.4999999999968,13308422.4872973
256.5999999999968,197815326.3969937
256.69999999999675,1268858715.8793042
256.79999999999677,3512439059.1511145
256.8999999999968,4203564894.7638006
256.99999999999676,2320723319.8958426
257.0999999999967,1815121949.6997638
257.19999999999675,4919598126.9322
257.29999999999677,7714651122.882808
257.39999999999674,5445805658.413749
257.4999999999967,3081579398.933154
257.5999999999967,5933727219.764017
257.69999999999675,9428113645.53427
257.7999999999967,7280390143.465685
